"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.389828500E-2,-1.651286006E0,-2.132990062E-1,-4.021300003E-2,1.665490626E0
4.890944100E-2,-1.581220984E0,-2.021750063E-1,-1.713000005E-3,1.594094561E0
5.392082900E-2,-1.510866046E0,-2.170410007E-1,6.097999867E-3,1.526387955E0
5.893213900E-2,-1.456503034E0,-1.983399987E-1,-1.573700085E-2,1.470029760E0
6.394329200E-2,-1.387483954E0,-1.701180041E-1,-6.177100167E-2,1.399238191E0
6.895459800E-2,-1.313691020E0,-1.372209936E-1,-1.197630018E-1,1.326256715E0
7.396598300E-2,-1.258327007E0,-1.210549995E-1,-1.501089931E-1,1.273017628E0
7.897713900E-2,-1.202293038E0,-1.263169944E-1,-1.701190025E-1,1.220821448E0
8.398853000E-2,-1.152557015E0,-1.361790001E-1,-1.731629968E-1,1.173421415E0
8.899984000E-2,-1.106634021E0,-1.602129936E-1,-1.737540066E-1,1.131590701E0
9.401121800E-2,-1.073573947E0,-1.887159944E-1,-1.488389969E-1,1.100148987E0
9.902229600E-2,-1.043797016E0,-1.860249937E-1,-1.570679992E-1,1.071815220E0
1.040334450E-1,-1.012500048E0,-1.856079996E-1,-1.603769958E-1,1.041790505E0
1.090448280E-1,-9.866709709E-1,-1.781619936E-1,-2.028789967E-1,1.022947305E0
1.140561410E-1,-9.661849737E-1,-1.780900061E-1,-2.628389895E-1,1.017012187E0
1.190675250E-1,-9.392330050E-1,-1.733500063E-1,-3.142940104E-1,1.005479780E0
1.240786700E-1,-9.153329730E-1,-1.707569957E-1,-3.042820096E-1,9.795815149E-1
1.290900530E-1,-8.851519823E-1,-1.868409961E-1,-2.531250119E-1,9.394018636E-1
1.341013620E-1,-8.627930284E-1,-1.786440015E-1,-2.129479945E-1,9.064614373E-1
1.391125160E-1,-8.364890218E-1,-1.699600071E-1,-1.462199986E-1,8.660141890E-1
1.441238220E-1,-8.133469820E-1,-1.609349996E-1,-1.000389978E-1,8.351294440E-1
1.491352070E-1,-8.093469739E-1,-1.683910042E-1,-6.215700135E-2,8.290123927E-1
1.541463630E-1,-8.100680113E-1,-1.875849962E-1,-3.233100101E-2,8.321319651E-1
1.591576490E-1,-8.037530184E-1,-2.137749940E-1,-1.031100005E-2,8.317601694E-1
1.641690340E-1,-7.952839732E-1,-2.493070066E-1,2.039399929E-2,8.336944865E-1
1.691801940E-1,-7.732660174E-1,-2.656680048E-1,1.783400029E-2,8.178250877E-1
1.741914990E-1,-7.311120033E-1,-2.725380063E-1,1.685000025E-3,7.802592938E-1
1.792028840E-1,-6.881129742E-1,-2.649939954E-1,1.183999982E-2,7.374696390E-1
1.842140400E-1,-6.302210093E-1,-2.718690038E-1,1.001999946E-3,6.863616246E-1
1.892253460E-1,-5.904060006E-1,-2.597410083E-1,-2.086799964E-2,6.453527023E-1
1.942364820E-1,-5.633699894E-1,-2.407539934E-1,-7.674299926E-2,6.174445062E-1
1.992478650E-1,-5.440480113E-1,-2.291830033E-1,-1.215969995E-1,6.027428290E-1
2.042591750E-1,-5.460519791E-1,-2.368479967E-1,-1.513909996E-1,6.141571233E-1
2.092705520E-1,-5.409449935E-1,-2.397380024E-1,-1.666059941E-1,6.146977738E-1
2.142817080E-1,-5.430240035E-1,-2.353830040E-1,-1.652649939E-1,6.144857567E-1
2.192930040E-1,-5.358039737E-1,-2.163559943E-1,-1.104660034E-1,5.883014129E-1
2.243041600E-1,-5.126339793E-1,-2.066799998E-1,-7.117100060E-2,5.572930382E-1
2.293155420E-1,-4.831489921E-1,-2.041130066E-1,-5.374800041E-2,5.272417999E-1
2.343268570E-1,-4.892140031E-1,-2.274899930E-1,1.202599984E-2,5.396542063E-1
2.393382400E-1,-4.765189886E-1,-2.290409952E-1,7.387799770E-2,5.338427508E-1
2.443493050E-1,-4.688470066E-1,-2.306320071E-1,7.862900198E-2,5.283854258E-1
2.493606870E-1,-4.590280056E-1,-2.302200049E-1,2.102500014E-2,5.139552619E-1
2.543718430E-1,-4.447369874E-1,-2.349860072E-1,-4.393500090E-2,5.049155333E-1
2.593831490E-1,-4.215199947E-1,-2.400979996E-1,-1.069760025E-1,4.967595197E-1
2.643942950E-1,-3.966690004E-1,-2.334800065E-1,-1.495810002E-1,4.839769467E-1
2.694056770E-1,-3.772870004E-1,-2.197649926E-1,-1.654199958E-1,4.669110276E-1
2.744169870E-1,-3.492769897E-1,-2.155890018E-1,-1.623650044E-1,4.414016628E-1
2.794283700E-1,-3.360030055E-1,-2.065729946E-1,-1.548260003E-1,4.237233911E-1
2.844395160E-1,-3.230989873E-1,-2.022829950E-1,-1.476079971E-1,4.087780406E-1
2.894508210E-1,-3.176620007E-1,-2.074220031E-1,-1.291979998E-1,4.007806847E-1
2.944622020E-1,-2.915909886E-1,-1.982280016E-1,-1.323020011E-1,3.765945629E-1
2.994733580E-1,-2.709929943E-1,-1.795279980E-1,-1.399240047E-1,3.539014441E-1
3.044846630E-1,-2.534419894E-1,-1.608179957E-1,-1.381179988E-1,3.304116392E-1
3.094958140E-1,-2.387550026E-1,-1.563590020E-1,-1.178269982E-1,3.087641338E-1
3.145071970E-1,-2.245019972E-1,-1.374559999E-1,-9.810400009E-2,2.809264913E-1
3.195185070E-1,-2.246309966E-1,-1.303389966E-1,-6.976199895E-2,2.689127650E-1
3.245298740E-1,-2.246520072E-1,-1.398569942E-1,-4.683599994E-2,2.687417237E-1
3.295410300E-1,-2.338780016E-1,-1.657560021E-1,1.718799956E-2,2.871748582E-1
3.345523360E-1,-2.381989956E-1,-1.723259985E-1,5.629099905E-2,2.993387510E-1
3.395634780E-1,-2.261099964E-1,-1.787939966E-1,8.519700170E-2,3.005853503E-1
3.445748600E-1,-2.165859938E-1,-1.851190031E-1,1.228509992E-1,3.102755324E-1
3.495861800E-1,-2.071789950E-1,-1.964949965E-1,8.543100208E-2,2.980467677E-1
3.545973340E-1,-2.118159980E-1,-2.343299985E-1,6.087600067E-2,3.216868860E-1
3.596087120E-1,-2.115489990E-1,-2.532399893E-1,2.325600013E-2,3.307934592E-1
3.646200210E-1,-2.042859942E-1,-2.603740096E-1,-8.518000133E-3,3.310588295E-1
3.696311750E-1,-1.834000051E-1,-2.390639931E-1,-4.851200059E-2,3.051893984E-1
3.746425770E-1,-1.677969992E-1,-2.250519991E-1,-6.878399849E-2,2.890250399E-1
3.796538860E-1,-1.550099999E-1,-2.326740026E-1,-9.098500013E-2,2.940128600E-1
3.846650400E-1,-1.448719949E-1,-2.450869977E-1,-9.406200051E-2,2.998386088E-1
3.896763560E-1,-1.372579932E-1,-2.502900064E-1,-9.253700078E-2,3.000798902E-1
3.946877410E-1,-1.275890023E-1,-2.530480027E-1,-8.421699703E-2,2.956429396E-1
3.996988960E-1,-1.088529974E-1,-2.582460046E-1,-9.010100365E-2,2.943775888E-1
4.047102060E-1,-1.069020033E-1,-2.802410126E-1,-1.076830029E-1,3.186827459E-1
4.097216680E-1,-1.003369987E-1,-2.997120023E-1,-8.537799865E-2,3.273899819E-1
4.147329770E-1,-1.009569988E-1,-2.950850129E-1,-5.205899850E-2,3.161923778E-1
4.197441360E-1,-9.225499630E-2,-2.690069973E-1,-6.138300151E-2,2.909357693E-1
4.247552130E-1,-8.618800342E-2,-2.452570051E-1,-4.482999817E-2,2.637974587E-1
4.297665960E-1,-9.887699783E-2,-2.261260003E-1,-1.236900035E-2,2.471085204E-1
4.347779040E-1,-1.133980006E-1,-2.476609945E-1,-1.807300001E-2,2.729866445E-1
4.397892780E-1,-1.205549985E-1,-2.429410070E-1,-3.049499914E-2,2.729171771E-1
4.448004340E-1,-9.058800340E-2,-1.639830023E-1,1.141399983E-2,1.876882809E-1
4.498117160E-1,-5.920999870E-2,-3.470100090E-2,6.216400117E-2,9.259776698E-2
4.548231000E-1,-8.636700362E-2,-1.335499994E-2,7.149999961E-3,8.768544826E-2
4.598342560E-1,-1.357270032E-1,-1.137700025E-2,-5.075500160E-2,1.453524191E-1
4.648455720E-1,-1.601520032E-1,-3.345999867E-2,-9.312699735E-2,1.882574654E-1
4.698569570E-1,-1.629180014E-1,-2.226899937E-2,-1.412830055E-1,2.167926917E-1
4.748681120E-1,-1.561959982E-1,-4.235500097E-2,-1.812040061E-1,2.429527275E-1
4.798794230E-1,-1.773930043E-1,-7.438900322E-2,-1.969700009E-1,2.753165142E-1
4.848905790E-1,-1.724569947E-1,-9.921099991E-2,-2.009360045E-1,2.827711361E-1
4.899019810E-1,-1.608279943E-1,-1.168539971E-1,-2.050250024E-1,2.855796771E-1
4.949132900E-1,-1.241960004E-1,-1.344829947E-1,-1.928710043E-1,2.659126674E-1
4.999246680E-1,-9.116700292E-2,-1.234399974E-1,-1.904260069E-1,2.445627108E-1
5.049358240E-1,-5.705200136E-2,-1.218930036E-1,-1.554200053E-1,2.055923472E-1
5.099471450E-1,-2.427599952E-2,-1.083189994E-1,-1.188910007E-1,1.626573080E-1
5.149585290E-1,3.058199957E-2,-1.116470024E-1,-1.156060025E-1,1.636003046E-1
5.199696950E-1,5.830200016E-2,-1.296249926E-1,-1.562889963E-1,2.112534315E-1
5.249810010E-1,6.437899917E-2,-1.382970065E-1,-2.001129985E-1,2.516265680E-1
5.299921570E-1,5.873800069E-2,-1.808049977E-1,-2.656239867E-1,3.266446115E-1
5.350034670E-1,8.111900091E-2,-1.326809973E-1,-3.055140078E-1,3.428167853E-1
5.400148520E-1,1.098150015E-1,-5.340600014E-2,-2.741189897E-1,3.000879137E-1
5.450260080E-1,1.193450019E-1,9.163999930E-3,-2.501089871E-1,2.772755196E-1
5.500373940E-1,6.162599847E-2,-9.712000377E-3,-2.891680002E-1,2.958212619E-1
5.550487040E-1,1.983300038E-2,-2.141200006E-2,-3.083130121E-1,3.096913546E-1
5.600598580E-1,-8.948000148E-3,-4.015000165E-2,-2.895259857E-1,2.924335578E-1
5.650711640E-1,-2.746699937E-2,-7.548999786E-2,-2.688919902E-1,2.806351336E-1
5.700825480E-1,-4.538400099E-2,-9.402599931E-2,-2.602050006E-1,2.803698244E-1
5.750936900E-1,-5.572300032E-2,-1.220180020E-1,-2.328429967E-1,2.687178942E-1
5.801049960E-1,-6.574600190E-2,-1.427499950E-1,-2.105530053E-1,2.627406818E-1
5.851161570E-1,-4.986000061E-2,-1.826280057E-1,-1.978539973E-1,2.738342791E-1
5.901275390E-1,-1.356600039E-2,-2.009959966E-1,-1.686200052E-1,2.627092179E-1
5.951388440E-1,7.796000224E-3,-2.484990060E-1,3.132640123E-1,3.999335883E-1
6.001499980E-1,1.065499987E-2,-3.473899961E-1,1.286009997E-1,3.705827242E-1
6.051613810E-1,1.157630011E-1,-3.985170126E-1,-3.317660093E-1,5.313055305E-1
6.101727460E-1,1.735399961E-1,-3.432079852E-1,-5.825350285E-1,6.980364680E-1
6.151838250E-1,2.136960030E-1,-2.946699858E-1,-4.985859990E-1,6.173203225E-1
6.201951980E-1,-2.937800065E-2,-3.393090069E-1,-6.309109926E-1,7.169674677E-1
6.252065060E-1,-1.887180060E-1,-2.898750007E-1,-5.551789999E-1,6.541144577E-1
6.302176760E-1,-1.328189969E-1,-1.992149949E-1,-3.910090029E-1,4.584926832E-1
6.352290590E-1,-3.924100101E-2,-2.450570017E-1,-3.682270050E-1,4.440539578E-1
6.402404440E-1,-1.075700019E-2,-3.343949914E-1,-4.684039950E-1,5.756196886E-1
6.452515360E-1,-1.772600040E-2,-4.049459994E-1,-5.764449835E-1,7.046873722E-1
6.502629190E-1,-4.050299898E-2,-4.540100098E-1,-6.225860119E-1,7.716080119E-1
6.552742270E-1,-7.705199718E-2,-4.837560058E-1,-6.136959791E-1,7.852258517E-1
6.602856060E-1,-1.215730011E-1,-5.276190042E-1,-5.952169895E-1,8.046397162E-1
6.652967620E-1,-1.459390074E-1,-5.879889727E-1,-5.579069853E-1,8.235832867E-1
6.703080580E-1,-1.416040063E-1,-6.433789730E-1,-5.140749812E-1,8.356202988E-1
6.753194430E-1,-1.324969977E-1,-7.104970217E-1,-4.474479854E-1,8.500418648E-1
6.803305790E-1,-1.419519931E-1,-7.677770257E-1,-3.795529902E-1,8.681545956E-1
6.853418850E-1,-1.554840058E-1,-8.320609927E-1,-3.380509913E-1,9.114709235E-1
6.903530410E-1,-1.427740008E-1,-9.034569860E-1,-3.151639998E-1,9.674436870E-1
6.953644190E-1,-1.232599989E-1,-9.701449871E-1,-3.404499888E-1,1.035509787E0
7.003757280E-1,-7.960300148E-2,-1.031769991E0,-3.841469884E-1,1.103836428E0
7.053868670E-1,-7.658799738E-2,-1.105350018E0,-4.222880006E-1,1.185745140E0
7.103982500E-1,-4.714899883E-2,-1.181285977E0,-4.597750008E-1,1.268484387E0
7.154095600E-1,-2.004900016E-2,-1.261976004E0,-4.559150040E-1,1.341955248E0
7.204209370E-1,-1.447799988E-2,-1.342622995E0,-4.729700089E-1,1.423568316E0
7.254320930E-1,3.129000077E-3,-1.461503983E0,-4.846700132E-1,1.539775537E0
7.304434760E-1,1.829100028E-2,-1.554028988E0,-5.027959943E-1,1.633445582E0
7.354547800E-1,4.543299973E-2,-1.680001974E0,-5.153779984E-1,1.757863838E0
7.404659340E-1,4.860100150E-2,-1.793954968E0,-5.535780191E-1,1.878053543E0
